Section,Question Number,Question,Answer
Intro,1,"In a single sentence, what is the central problem this thesis addresses?","The central problem is that conventional hyperparameter optimisation (HPO) methods are fundamentally limited because they rely on static, predefined search spaces, which fail to adapt to the complex, dynamic realities of modern machine learning problems."
Intro,2,"You state that a fixed search space embodies ""fixed assumptions"". What are these assumptions, and why are they problematic?","The key assumptions are that the optimal structure of the solution domain is known in advance, that relationships between parameters are smooth, and that the concept of optimality is static. These are problematic because in real-world applications, models interact with complex data and shifting requirements, which often violates these assumptions and leads to sub-optimal results."
Intro,3,"What is the core concept behind your proposed solution, the Evolutionary Cellular Optimisation (ECO) algorithm?","The core concept is to treat the hyperparameter search space not as a static grid to be searched, but as a dynamic, generative structure that evolves in response to performance feedback. ECO constructs and refines its own search landscape, allowing it to adapt its resolution and focus as the search progresses."
Intro,4,Your approach fuses Evolutionary Algorithms (EAs) and Cellular Automata (CAs). What specific capabilities does each component provide?,"ECO leverages EAs for their well-established utility in exploring non-convex, noisy spaces. It uses CAs to introduce decentralised, local, neighbourhood-based updates, which allow the allele structures for each hyperparameter to self-organise and adapt in a computationally lightweight manner."
Intro,5,"On page 21, you reframe HPO as a process of ""generative constraint discovery"". Could you elaborate on what you mean by this?","I mean that the goal shouldn't simply be to select the best value from a pre-approved list. Instead, the optimisation process itself should *discover* which ranges, resolutions, and relationships between parameters are valuable for a given problem. It's about generating a well-formed problem space, from which a solution can then be selected."
Intro,6,"You have a section titled ""The Epistemology of Search"". Why is it necessary to frame what is essentially an engineering problem in these philosophical terms?","I use this framing to highlight a fundamental, and I believe overlooked, aspect of HPO. Every optimiser implicitly encodes a belief system—an epistemology—about what is valuable and how knowledge about the search space is acquired. By making this explicit, I can more clearly contrast static methods, which rely on *a priori* assumptions, with ECO, which uses a generative, feedback-driven process of discovery to construct its understanding of the problem."
Intro,7,How does ECO represent a hyperparameter configuration?,"A full configuration, or candidate solution, is represented as a ""genome"". Each individual hyperparameter is a ""gene"" within that genome. The possible values for that hyperparameter are ""alleles,"" which are not a fixed list but a mutable set of candidates modelled as a 1D cellular automaton."
Intro,8,"You claim ECO requires ""minimal initialisation"". What, specifically, must be provided to start the algorithm?","At a minimum, ECO requires the definition of the hyperparameters (the genes) and metadata defined by function, such as their data type and initial plausible ranges. The algorithm itself then populates this space with a sparse set of initial alleles and evolves the rest, so it doesn't require a pre-populated grid or complex, hand-crafted schedules to begin its work."
Intro,9,"What, in your view, is the single most important contribution of this thesis?","The single most important contribution is the ECO algorithm itself, as it presents a novel method for HPO that combines evolutionary selection with CA-driven mutation. This enables a shift away from searching static spaces to a dynamic, generative process where the search landscape itself is constructed and refined based on performance feedback."
Intro,10,Why were Cellular Automata chosen for managing the allele populations? What advantages do they offer over other potential structures?,"CAs were chosen for three key properties: their reliance on simple, local rules to generate complex global behaviour; their inherent support for structure and memory through persistent patterns; and their computational efficiency. This makes them an ideal substrate for an emergent representation of the search space, allowing it to adapt based on local fitness signals without requiring complex, centralised control or surrogate models."
Intro,11,Your problem statement suggests that the optimality of hyperparameters can shift during training or across tasks. Does ECO explicitly handle this non-stationarity?,"While this thesis doesn't focus on real-time adaptation during a single training run, ECO's entire design is built to handle context-sensitivity. Because the allele populations are constantly evolving based on fitness feedback from discrete training runs, the algorithm can adapt its search focus and resolution across different tasks or training regimes. The framework is inherently adaptive to the ""ground truth"" of the fitness landscape it is currently exploring."
Intro,12,"You benchmark ECO against grid search, random search, and Bayesian optimisation. Why this specific set of baselines?","These three methods represent the standard spectrum of HPO approaches. Grid and random search are foundational, non-adaptive methods that provide a baseline for uninformed search. Bayesian optimisation represents the state-of-the-art for surrogate-guided methods, which leverage accumulating knowledge to guide the search. Comparing ECO against this set effectively situates its performance against both standard practice and a powerful, intelligent baseline."
Intro,13,You state that ECO requires no surrogate models. What is the primary disadvantage of relying on surrogate models that ECO avoids?,"The primary disadvantage of surrogate models, which ECO avoids, is their reliance on assumptions about the fitness landscape, such as continuity and smoothness. These assumptions often do not hold in high-dimensional or structurally complex problems, causing the surrogate's fidelity to degrade and leading to poor guidance of the optimisation process."
Intro,14,"One of your research objectives is to ""analyse the structural evolution of the search space"". Based on your introduction, what do you anticipate this analysis will show?","Based on the design, I anticipate the analysis will show that the search space begins as a sparse representation and then dynamically expands or contracts based on performance feedback. I expect to see the algorithm adapt its exploratory behavior and focused exploitation as the search progresses, increasing resolution in promising regions and pruning unpromising ones."
